Date,Open,High,Low,Close,Volume BTC
2020-04-29,7753.0,8978.0,7727.6,8779.9,20471.05190692
2020-04-30,8779.9,9487.9,8410.0,8629.6,23985.38992569
2020-05-01,8628.3,9065.0,8628.3,8824.6,8508.44395579
2020-05-02,8831.0,9016.2,8756.4,8983.1,5759.28671375
2020-05-03,8983.2,9204.8,8714.0,8905.5,8379.61977310
2020-05-04,8910.9,8972.5,8534.0,8886.3,8240.87431951
2020-05-05,8890.7,9119.9,8780.0,9027.4,7421.48480588
2020-05-06,9027.4,9430.0,8921.0,9166.1,11362.01313335
2020-05-07,9163.1,10080.2,9037.0,10001.0,18206.78074228
2020-05-08,10001.4,10048.2,9727.5,9809.5,9783.48938227
2020-05-09,9808.4,9911.7,9518.0,9539.7,8004.08245324
2020-05-10,9530.5,9570.1,7995.6,8716.5,21269.65739269
2020-05-11,8724.9,9175.0,8190.0,8570.8,18291.82768881
2020-05-12,8570.8,8975.0,8531.8,8823.7,7354.10341194
2020-05-13,8818.1,9411.0,8808.1,9317.1,9472.11087761
2020-05-14,9317.1,9947.0,9256.9,9788.5,12966.02053407
2020-05-15,9788.5,9847.1,9128.0,9312.1,11082.91558633
2020-05-16,9310.5,9590.0,9221.1,9386.0,4905.16528078
2020-05-17,9379.3,9888.0,9317.1,9673.0,6998.24963795
2020-05-18,9675.6,9948.3,9400.0,9725.3,8025.34763434
2020-05-19,9726.0,9900.0,9465.0,9779.3,8433.88252936
2020-05-20,9779.2,9841.4,9310.0,9510.1,8928.34699991
2020-05-21,9510.1,9564.0,8800.0,9057.3,12850.78533232
2020-05-22,9057.5,9261.2,8925.0,9169.0,5948.22846448
2020-05-23,9169.9,9316.0,9072.5,9178.6,3223.80644681
2020-05-24,9175.4,9300.0,8645.0,8715.1,6806.68899898
2020-05-25,8712.8,8975.0,8644.0,8898.1,6019.25989883
2020-05-26,8898.0,9012.0,8686.6,8841.7,5236.66556594
2020-05-27,8840.7,9226.0,8810.6,9213.9,6834.04990446
2020-05-28,9208.0,9625.0,9109.4,9577.9,8108.35758970
2020-05-29,9578.0,9608.6,9312.0,9425.0,6002.56934043
2020-05-30,9424.9,9745.0,9330.0,9698.6,5071.76497567
2020-05-31,9699.9,9700.0,9380.0,9447.4,3643.43597021
2020-06-01,9447.9,10370.0,9414.6,10206.2,9866.95115835
2020-06-02,10210.1,10235.0,9300.0,9525.4,14963.95762982
2020-06-03,9516.0,9690.0,9310.9,9664.1,4383.39531009
2020-06-04,9670.0,9884.7,9465.0,9791.4,6818.32814269
2020-06-05,9792.1,9855.0,9537.9,9617.7,5121.00668816
2020-06-06,9617.6,9731.2,9527.4,9672.0,2681.15313308
2020-06-07,9668.7,9812.4,9386.6,9757.7,4869.61667609
2020-06-08,9755.7,9800.0,9626.8,9780.9,3571.19983983
2020-06-09,9782.0,9900.4,9560.3,9778.0,5905.61392668
2020-06-10,9778.0,10000.0,9680.0,9892.4,5841.62377546
2020-06-11,9892.2,9990.0,9090.5,9265.8,12247.96471877
2020-06-12,9265.8,9545.0,9234.0,9460.0,4753.44160400
2020-06-13,9459.9,9492.8,9353.8,9471.0,1910.81428241
2020-06-14,9472.9,9475.0,9230.6,9330.4,2680.38680179
2020-06-15,9328.4,9499.9,8905.0,9425.3,9823.89428294
2020-06-16,9425.3,9593.0,9385.0,9528.5,5563.38048246
2020-06-17,9527.5,9556.8,9233.4,9453.1,5393.86904625
2020-06-18,9453.1,9480.0,9268.2,9381.5,3652.89691828
2020-06-19,9381.5,9439.7,9219.9,9302.1,4506.12586124
2020-06-20,9301.2,9394.9,9165.0,9355.6,2127.73045817
2020-06-21,9357.0,9416.9,9280.0,9284.7,2014.19981502
2020-06-22,9284.7,9780.0,9275.0,9694.0,5237.81344337
2020-06-23,9694.0,9721.3,9575.8,9622.3,3628.18725463
2020-06-24,9625.5,9661.7,9200.0,9282.0,5937.38256752
2020-06-25,9290.6,9337.5,8992.4,9233.5,6244.40048570
2020-06-26,9238.0,9285.0,9028.6,9150.3,5297.72428640
2020-06-27,9153.0,9183.3,8812.8,9002.0,4249.82947999
2020-06-28,9003.9,9189.3,8937.5,9113.7,2562.54923600
2020-06-29,9113.8,9230.0,9013.0,9183.5,4167.07503225
2020-06-30,9186.4,9199.0,9061.3,9133.9,2685.85190593
2020-07-01,9135.0,9300.3,9094.2,9234.5,3526.76141260
2020-07-02,9233.9,9269.2,8935.6,9086.0,4547.45864937
2020-07-03,9086.0,9123.1,9041.4,9058.0,1652.16338851
2020-07-04,9058.1,9194.8,9044.9,9138.5,1524.40316113
2020-07-05,9138.5,9143.5,8915.1,9083.8,1933.66216977
2020-07-06,9083.8,9372.0,9065.2,9348.2,4710.44847333
2020-07-07,9347.1,9378.0,9204.1,9256.8,3589.57391325
2020-07-08,9258.4,9480.0,9237.6,9440.1,4307.70416024
2020-07-09,9440.0,9440.1,9155.2,9240.2,3776.71826166
2020-07-10,9236.0,9314.9,9125.0,9286.0,2668.97298418
2020-07-11,9286.1,9296.7,9186.4,9234.6,1145.08067707
2020-07-12,9234.5,9340.0,9161.5,9300.0,1679.96695486
2020-07-13,9300.0,9367.7,9195.7,9236.2,2850.69438337
2020-07-14,9237.2,9275.0,9095.0,9252.2,3085.47358479
2020-07-15,9253.9,9272.7,9155.1,9195.0,3307.12674699
2020-07-16,9194.9,9208.8,9021.7,9130.9,3908.40889536
2020-07-17,9131.0,9182.1,9078.5,9152.2,2171.67983091
2020-07-18,9152.2,9208.9,9123.0,9174.1,1053.26547125
2020-07-19,9173.7,9238.2,9111.1,9213.7,1355.34662685
2020-07-20,9216.1,9224.6,9131.5,9163.0,2034.71911035
2020-07-21,9163.0,9436.0,9157.3,9393.8,4022.04830186
2020-07-22,9393.9,9569.0,9281.8,9529.9,3139.86902079
2020-07-23,9529.8,9676.0,9460.0,9612.0,4565.29741884
2020-07-24,9612.0,9649.0,9480.0,9553.6,3345.55355981
2020-07-25,9553.6,9748.1,9540.9,9710.2,2412.07406077
2020-07-26,9712.1,10197.0,9666.7,9939.6,5224.80083782
2020-07-27,9939.6,11420.0,9937.1,11046.1,16317.13418061
2020-07-28,11051.0,11263.1,10588.0,10934.0,8489.68581504
2020-07-29,10934.0,11348.0,10852.2,11108.2,6258.41077832
2020-07-30,11111.1,11187.2,10828.8,11114.8,5060.25168109
2020-07-31,11114.8,11460.0,10980.0,11356.2,5391.83287510
